Name,Stars,Title,Date,Description
M. Seg,5.0,"5.0 out of 5 stars
Next best hyaluronic acid serum to skinceuticals",01/11/2023,"I'm a guy and have tried a bunch of hyaluronic acid serums with no luck. This one gives me a natural brigtness/glow to my complexion. I had initially tried skinceuticals one since it was thinner and more absorving and this one was a little thicker. But I have found that during the winter now this one, thicker, works better for me.You have to put it on top of damp skin, so I use the La roche posay thermal water mist and then this and then I use a moisturizer on top."
Ashley,5.0,"5.0 out of 5 stars
Miracle for my combo skin",08/11/2023,"My dermatologist recommended me this for my combination skin. My cheeks are always so dry. Let me tell you, this was a GAME-CHANGER! It does such an amazing job keeping my face hydrated. I feel like I’m always changing lotions and serums looking for something, but I finally found it! I will continue to buy this over and over again.It’s a little pricey, but a little goes a long way and it’s definitely worth it."
consumer review,5.0,"5.0 out of 5 stars
really works",02/12/2023,my skin looks so much healthier since using. A little goes a long way
Steffie,4.0,"4.0 out of 5 stars
It's fine",04/11/2023,"Purchased only because the price was temporarly reduced and I had heard of the brand but I don't see the value. It does exactly as intended and I have no signs of irritation, it's fine and no issues. HOWEVER, there are other brands that do just as well that cost less than $15 so I'm just not understanding the hype."
Kelly Terry,5.0,"5.0 out of 5 stars
Hydration",30/11/2023,Very moisturizing eliminated dryness and provided hydration. Most importantly serum didn't irritate my sensitive skin.
flor,5.0,"5.0 out of 5 stars
No dejo de comprarla!",13/11/2023,"Este es el tercer bote que voy comprando porque me encanta como deja la piel! suave, hidratada y el olor me encanta. Generalmente soy de piel sensible y mixta y me funciona perfectamente este suero y la marca muy buena."
Megan Anno,5.0,"5.0 out of 5 stars
One of my favorites",21/11/2023,This is such a great product! Make sure to put on damp skin for optimal results. I can tell a difference in my skin texture and moisture.
Graham,4.0,"4.0 out of 5 stars
Does really good job of hydrating skin.",01/12/2023,I've tried many skin moisturizing products. My face has several areas that get dry and burn or itch. Not sure if it is rosacia(sp) or not. This product really does hydrate very well. My red spots calm down and stop burning and itching within minutes of using this. So for my sensitive skin issues this works well. Not so sure about removing lines but that was not my concern. It does feel sticky and tacky when you first put it on. It's fine after it dries and absorbs into your skin. The fragance I could do without and that's why I downgraded my review. Make it fragrance free and I would say 5 stars.
Nashalie,5.0,"5.0 out of 5 stars
This product works",24/11/2023,I have really seen the difference in my face I love this won’t ever be using nothing else my face an neck usually break out to new products an this didn’t break me out at all my face has a glow to it I did an AI to see what products should I use as a daily routine an this hasn’t let me down so far will wil be purchasing again once I run out
shiela,5.0,"5.0 out of 5 stars
BEST Hyaluronic Acid Serum",02/11/2023,"I have tried different brands that were expensive but not as good as their priced claimed, which is why i was hesitant to try this one. But I bite the bullet and bought this anyways; I have only tried this for almost 2wks, but i have sensitive, oily and acne prone skin and it didn't irritate my skin AT ALL I can't say yet if it is working as it promised, but my skin isn't reacting bad so that is a WIN in my book! I can't wait to try their Vitamin C serum!"
M. Seg,5.0,"5.0 out of 5 stars
Next best hyaluronic acid serum to skinceuticals",01/11/2023,"I'm a guy and have tried a bunch of hyaluronic acid serums with no luck. This one gives me a natural brigtness/glow to my complexion. I had initially tried skinceuticals one since it was thinner and more absorving and this one was a little thicker. But I have found that during the winter now this one, thicker, works better for me.You have to put it on top of damp skin, so I use the La roche posay thermal water mist and then this and then I use a moisturizer on top."
Ashley,5.0,"5.0 out of 5 stars
Miracle for my combo skin",08/11/2023,"My dermatologist recommended me this for my combination skin. My cheeks are always so dry. Let me tell you, this was a GAME-CHANGER! It does such an amazing job keeping my face hydrated. I feel like I’m always changing lotions and serums looking for something, but I finally found it! I will continue to buy this over and over again.It’s a little pricey, but a little goes a long way and it’s definitely worth it."
consumer review,5.0,"5.0 out of 5 stars
really works",02/12/2023,my skin looks so much healthier since using. A little goes a long way
Steffie,4.0,"4.0 out of 5 stars
It's fine",04/11/2023,"Purchased only because the price was temporarly reduced and I had heard of the brand but I don't see the value. It does exactly as intended and I have no signs of irritation, it's fine and no issues. HOWEVER, there are other brands that do just as well that cost less than $15 so I'm just not understanding the hype."
Kelly Terry,5.0,"5.0 out of 5 stars
Hydration",30/11/2023,Very moisturizing eliminated dryness and provided hydration. Most importantly serum didn't irritate my sensitive skin.
flor,5.0,"5.0 out of 5 stars
No dejo de comprarla!",13/11/2023,"Este es el tercer bote que voy comprando porque me encanta como deja la piel! suave, hidratada y el olor me encanta. Generalmente soy de piel sensible y mixta y me funciona perfectamente este suero y la marca muy buena."
Megan Anno,5.0,"5.0 out of 5 stars
One of my favorites",21/11/2023,This is such a great product! Make sure to put on damp skin for optimal results. I can tell a difference in my skin texture and moisture.
Graham,4.0,"4.0 out of 5 stars
Does really good job of hydrating skin.",01/12/2023,I've tried many skin moisturizing products. My face has several areas that get dry and burn or itch. Not sure if it is rosacia(sp) or not. This product really does hydrate very well. My red spots calm down and stop burning and itching within minutes of using this. So for my sensitive skin issues this works well. Not so sure about removing lines but that was not my concern. It does feel sticky and tacky when you first put it on. It's fine after it dries and absorbs into your skin. The fragance I could do without and that's why I downgraded my review. Make it fragrance free and I would say 5 stars.
Nashalie,5.0,"5.0 out of 5 stars
This product works",24/11/2023,I have really seen the difference in my face I love this won’t ever be using nothing else my face an neck usually break out to new products an this didn’t break me out at all my face has a glow to it I did an AI to see what products should I use as a daily routine an this hasn’t let me down so far will wil be purchasing again once I run out
shiela,5.0,"5.0 out of 5 stars
BEST Hyaluronic Acid Serum",02/11/2023,"I have tried different brands that were expensive but not as good as their priced claimed, which is why i was hesitant to try this one. But I bite the bullet and bought this anyways; I have only tried this for almost 2wks, but i have sensitive, oily and acne prone skin and it didn't irritate my skin AT ALL I can't say yet if it is working as it promised, but my skin isn't reacting bad so that is a WIN in my book! I can't wait to try their Vitamin C serum!"
